[2026-04-16 16:41:47.087 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #31 ReqTime:"2026-04-16T16:41:47.0850119+05:30" Duration:1ms
[2026-04-16 16:41:47.101 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #32 ReqTime:"2026-04-16T16:41:47.0896466+05:30" Duration:10ms
[2026-04-16 16:41:47.108 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #33 ReqTime:"2026-04-16T16:41:47.1055639+05:30" Duration:1ms
[2026-04-16 16:41:47.113 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #34 ReqTime:"2026-04-16T16:41:47.1110851+05:30" Duration:1ms
[2026-04-16 16:41:47.118 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #35 ReqTime:"2026-04-16T16:41:47.1161328+05:30" Duration:1ms
[2026-04-16 16:41:47.124 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #36 ReqTime:"2026-04-16T16:41:47.1217138+05:30" Duration:1ms
[2026-04-16 16:41:47.129 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #37 ReqTime:"2026-04-16T16:41:47.1269974+05:30" Duration:1ms
[2026-04-16 16:41:47.134 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #38 ReqTime:"2026-04-16T16:41:47.1318826+05:30" Duration:1ms
[2026-04-16 16:41:47.140 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #39 ReqTime:"2026-04-16T16:41:47.1367535+05:30" Duration:2ms
[2026-04-16 16:41:47.145 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #40 ReqTime:"2026-04-16T16:41:47.1433958+05:30" Duration:1ms
[2026-04-16 16:41:47.150 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #41 ReqTime:"2026-04-16T16:41:47.1480434+05:30" Duration:1ms
[2026-04-16 16:41:47.155 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #42 ReqTime:"2026-04-16T16:41:47.1526266+05:30" Duration:1ms
[2026-04-16 16:41:47.160 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #43 ReqTime:"2026-04-16T16:41:47.1578644+05:30" Duration:1ms
[2026-04-16 16:41:47.165 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #44 ReqTime:"2026-04-16T16:41:47.1627624+05:30" Duration:1ms
[2026-04-16 16:41:47.169 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #45 ReqTime:"2026-04-16T16:41:47.1670938+05:30" Duration:1ms
[2026-04-16 16:41:47.175 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #46 ReqTime:"2026-04-16T16:41:47.1723935+05:30" Duration:1ms
[2026-04-16 16:41:47.180 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #47 ReqTime:"2026-04-16T16:41:47.1776494+05:30" Duration:1ms
[2026-04-16 16:41:47.185 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #48 ReqTime:"2026-04-16T16:41:47.1824787+05:30" Duration:1ms
[2026-04-16 16:41:47.190 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #49 ReqTime:"2026-04-16T16:41:47.1881138+05:30" Duration:1ms
