22-04-2026 16:19:15.105 | INFO  | [PROGRAM] Starting 16 device simulator(s) | Server=http://localhost:5000/api/
22-04-2026 16:19:19.679 | INFO  | [00:1B:09:00:00:45] LOGIN | START | Attempt=1
22-04-2026 16:19:19.695 | INFO  | [00:1B:09:00:00:48] RUN | Initial login starting
22-04-2026 16:19:19.695 | INFO  | [00:1B:09:00:00:48] LOGIN | START | Attempt=1
22-04-2026 16:19:19.778 | INFO  | [00:1B:09:00:00:55] LOGIN | SUCCESS | DeviceID=55 TypeMID=d4d0344309d7
22-04-2026 16:19:19.778 | INFO  | [00:1B:09:00:00:55] RESTORE | START
22-04-2026 16:19:19.798 | INFO  | [00:1B:09:00:00:55] RESTORE | SUCCESS
22-04-2026 16:19:19.798 | INFO  | [00:1B:09:00:00:55] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:19.798 | INFO  | [00:1B:09:00:00:55] RUN | Starting all loops
22-04-2026 16:19:19.869 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5889 IDs=41031
22-04-2026 16:19:19.993 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41031
22-04-2026 16:19:20.033 | INFO  | [00:1B:09:00:00:53] LOGIN | SUCCESS | DeviceID=53 TypeMID=0cf60a72f8c4
22-04-2026 16:19:20.033 | INFO  | [00:1B:09:00:00:53] RESTORE | START
22-04-2026 16:19:20.058 | INFO  | [00:1B:09:00:00:53] RESTORE | SUCCESS
22-04-2026 16:19:20.058 | INFO  | [00:1B:09:00:00:53] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:20.058 | INFO  | [00:1B:09:00:00:53] RUN | Starting all loops
22-04-2026 16:19:20.228 | INFO  | [00:1B:09:00:00:59] LOGIN | SUCCESS | DeviceID=59 TypeMID=ae64423ec37d
22-04-2026 16:19:20.228 | INFO  | [00:1B:09:00:00:59] RESTORE | START
22-04-2026 16:19:20.257 | INFO  | [00:1B:09:00:00:59] RESTORE | SUCCESS
22-04-2026 16:19:20.257 | INFO  | [00:1B:09:00:00:59] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:20.257 | INFO  | [00:1B:09:00:00:59] RUN | Starting all loops
22-04-2026 16:19:20.782 | INFO  | [00:1B:09:00:00:51] LOGIN | SUCCESS | DeviceID=51 TypeMID=2df3b869ebd7
22-04-2026 16:19:20.783 | INFO  | [00:1B:09:00:00:51] RESTORE | START
22-04-2026 16:19:20.800 | INFO  | [00:1B:09:00:00:51] RESTORE | SUCCESS
22-04-2026 16:19:20.800 | INFO  | [00:1B:09:00:00:51] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:20.800 | INFO  | [00:1B:09:00:00:51] RUN | Starting all loops
22-04-2026 16:19:21.191 | INFO  | [00:1B:09:00:00:54] LOGIN | SUCCESS | DeviceID=54 TypeMID=0b15e8990cdc
22-04-2026 16:19:21.191 | INFO  | [00:1B:09:00:00:54] RESTORE | START
22-04-2026 16:19:21.216 | INFO  | [00:1B:09:00:00:54] RESTORE | SUCCESS
22-04-2026 16:19:21.216 | INFO  | [00:1B:09:00:00:54] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:21.216 | INFO  | [00:1B:09:00:00:54] RUN | Starting all loops
22-04-2026 16:19:21.730 | INFO  | [00:1B:09:00:00:45] LOGIN | SUCCESS | DeviceID=45 TypeMID=725b01c075a3
22-04-2026 16:19:21.730 | INFO  | [00:1B:09:00:00:45] RESTORE | START
22-04-2026 16:19:21.757 | INFO  | [00:1B:09:00:00:48] LOGIN | SUCCESS | DeviceID=48 TypeMID=eab349be355c
22-04-2026 16:19:21.757 | INFO  | [00:1B:09:00:00:48] RESTORE | START
22-04-2026 16:19:21.772 | INFO  | [00:1B:09:00:00:45] RESTORE | SUCCESS
22-04-2026 16:19:21.772 | INFO  | [00:1B:09:00:00:45] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:21.772 | INFO  | [00:1B:09:00:00:45] RUN | Starting all loops
22-04-2026 16:19:21.786 | INFO  | [00:1B:09:00:00:48] RESTORE | SUCCESS
22-04-2026 16:19:21.786 | INFO  | [00:1B:09:00:00:48] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:21.786 | INFO  | [00:1B:09:00:00:48] RUN | Starting all loops
22-04-2026 16:19:22.033 | INFO  | [00:1B:09:00:00:60] RUN | Initial login starting
22-04-2026 16:19:22.033 | INFO  | [00:1B:09:00:00:60] LOGIN | START | Attempt=1
22-04-2026 16:19:22.126 | INFO  | [00:1B:09:00:00:57] RUN | Initial login starting
22-04-2026 16:19:22.126 | INFO  | [00:1B:09:00:00:57] LOGIN | START | Attempt=1
22-04-2026 16:19:22.126 | INFO  | [00:1B:09:00:00:47] RUN | Initial login starting
22-04-2026 16:19:22.126 | INFO  | [00:1B:09:00:00:47] LOGIN | START | Attempt=1
22-04-2026 16:19:22.442 | INFO  | [00:1B:09:00:00:50] RUN | Initial login starting
22-04-2026 16:19:22.442 | INFO  | [00:1B:09:00:00:50] LOGIN | START | Attempt=1
22-04-2026 16:19:22.583 | INFO  | [00:1B:09:00:00:58] RUN | Initial login starting
22-04-2026 16:19:22.583 | INFO  | [00:1B:09:00:00:58] LOGIN | START | Attempt=1
22-04-2026 16:19:23.045 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5888 IDs=41032
22-04-2026 16:19:23.082 | INFO  | [00:1B:09:00:00:55] ACK | SUCCESS | IDs=41032
22-04-2026 16:19:24.058 | INFO  | [00:1B:09:00:00:60] LOGIN | SUCCESS | DeviceID=60 TypeMID=e9196d53c377
22-04-2026 16:19:24.058 | INFO  | [00:1B:09:00:00:60] RESTORE | START
22-04-2026 16:19:24.065 | INFO  | [00:1B:09:00:00:60] RESTORE | SUCCESS
22-04-2026 16:19:24.065 | INFO  | [00:1B:09:00:00:60] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:24.065 | INFO  | [00:1B:09:00:00:60] RUN | Starting all loops
22-04-2026 16:19:24.150 | INFO  | [00:1B:09:00:00:57] LOGIN | SUCCESS | DeviceID=57 TypeMID=378fc182cd30
22-04-2026 16:19:24.150 | INFO  | [00:1B:09:00:00:57] RESTORE | START
22-04-2026 16:19:24.151 | INFO  | [00:1B:09:00:00:47] LOGIN | SUCCESS | DeviceID=47 TypeMID=3771079558aa
22-04-2026 16:19:24.151 | INFO  | [00:1B:09:00:00:47] RESTORE | START
22-04-2026 16:19:24.160 | INFO  | [00:1B:09:00:00:57] RESTORE | SUCCESS
22-04-2026 16:19:24.160 | INFO  | [00:1B:09:00:00:57] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:24.160 | INFO  | [00:1B:09:00:00:57] RUN | Starting all loops
22-04-2026 16:19:24.162 | INFO  | [00:1B:09:00:00:47] RESTORE | SUCCESS
22-04-2026 16:19:24.162 | INFO  | [00:1B:09:00:00:47] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:24.162 | INFO  | [00:1B:09:00:00:47] RUN | Starting all loops
22-04-2026 16:19:24.473 | INFO  | [00:1B:09:00:00:50] LOGIN | SUCCESS | DeviceID=50 TypeMID=b2e98662f64c
22-04-2026 16:19:24.473 | INFO  | [00:1B:09:00:00:50] RESTORE | START
22-04-2026 16:19:24.490 | INFO  | [00:1B:09:00:00:50] RESTORE | SUCCESS
22-04-2026 16:19:24.490 | INFO  | [00:1B:09:00:00:50] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:24.490 | INFO  | [00:1B:09:00:00:50] RUN | Starting all loops
22-04-2026 16:19:24.622 | INFO  | [00:1B:09:00:00:58] LOGIN | SUCCESS | DeviceID=58 TypeMID=f87d6f9282d1
22-04-2026 16:19:24.622 | INFO  | [00:1B:09:00:00:58] RESTORE | START
22-04-2026 16:19:24.641 | INFO  | [00:1B:09:00:00:58] RESTORE | SUCCESS
22-04-2026 16:19:24.641 | INFO  | [00:1B:09:00:00:58] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:24.641 | INFO  | [00:1B:09:00:00:58] RUN | Starting all loops
22-04-2026 16:19:26.155 | INFO  | [00:1B:09:00:00:55] POLL | DATA | Count=1 TotalPending=5887 IDs=41033
